"","Country","Happiness","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","PositiveAffect","NegativeAffect","ConfidenceInGovernment","Region"
"114","Senegal",4.68302488327026,7.81220817565918,0.743759334087372,59.2000007629395,0.686937034130096,-0.0310854036360979,0.82524186372757,0.745732069015503,0.290836066007614,0.610722780227661,"Sub-Saharan Africa"
"115","Serbia",5.12203121185303,9.55029773712158,0.883770406246185,67.8000030517578,0.684846341609955,-0.0773373767733574,0.851457834243774,0.509721219539642,0.326407074928284,0.511197984218597,"Central and Eastern Europe"
"116","Sierra Leone",4.08956241607666,7.23727512359619,0.652287125587463,49.2000007629395,0.710613548755646,0.08671984821558,0.848398327827454,0.600368201732635,0.495040029287338,0.737516939640045,"Sub-Saharan Africa"
"117","Singapore",6.37843799591064,11.3566856384277,0.897349894046783,76.5,0.926127851009369,0.125963225960732,0.161790683865547,0.800114393234253,0.179324552416801,0.9269979596138,"Southeastern Asia"
"118","Slovakia",6.36550903320312,10.3141107559204,0.913386642932892,68.5999984741211,0.714224696159363,-0.0665929690003395,0.920422673225403,0.788020431995392,0.212722480297089,0.341680079698563,"Central and Eastern Europe"
"119","Slovenia",6.16683769226074,10.3545894622803,0.928187847137451,70.8000030517578,0.920862674713135,-0.027939947322011,0.828794717788696,0.61510968208313,0.285601437091827,0.239779725670815,"Central and Eastern Europe"
"120","South Africa",4.51365518569946,9.41693782806396,0.870313286781311,56.0999984741211,0.78742790222168,-0.137357383966446,0.86478191614151,0.784800708293915,0.26817524433136,0.423274219036102,"Sub-Saharan Africa"
"121","South Korea",5.87388706207275,10.4895610809326,0.80692994594574,73.3000030517578,0.538113713264465,0.00939086731523275,0.850690424442291,0.623377561569214,0.234825626015663,0.358582198619843,"Eastern Asia"
"122","South Sudan",2.81662249565125,NA,0.556822657585144,51,0.456011086702347,NA,0.761269629001617,0.585602164268494,0.517363786697388,0.461550503969193,"Middle East and Northern Africa"
"123","Spain",6.23017311096191,10.4420948028564,0.903158187866211,74.0999984741211,0.755560755729675,-0.0360333956778049,0.791268765926361,0.625055611133575,0.302387654781342,0.269585967063904,"Western Europe"
"124","Sri Lanka",4.33094549179077,9.36469745635986,0.822770595550537,67,0.827077388763428,0.0882553830742836,0.844210028648376,0.794951617717743,0.269727528095245,0.517589926719666,"Southern Asia"
"125","Sweden",7.28680467605591,10.7568235397339,0.914016783237457,72.5,0.934582114219666,0.163362830877304,0.239366918802261,0.813547790050507,0.175066828727722,0.559461951255798,"Western Europe"
"126","Switzerland",7.47359323501587,10.9579763412476,0.949661374092102,73.8000030517578,0.924996912479401,0.175113409757614,0.316183477640152,0.773997068405151,0.195871487259865,0.819706737995148,"Western Europe"
"127","Taiwan",6.35945081710815,NA,0.891119122505188,NA,0.759654760360718,NA,0.742780089378357,0.837277293205261,0.114123158156872,0.322822391986847,"Eastern Asia"
"128","Tajikistan",5.82923412322998,7.97140073776245,0.662693321704865,63.7999992370605,0.832002460956573,0.122264012694359,0.718336880207062,0.602667689323425,0.277725338935852,0.929793059825897,"Central and Eastern Europe"
"129","Tanzania",3.3471212387085,7.89480400085449,0.705010294914246,57,0.800495505332947,0.104961358010769,0.653606057167053,0.714645504951477,0.255335688591003,0.913339018821716,"Sub-Saharan Africa"
"130","Thailand",5.9388952255249,9.69754981994629,0.877268731594086,67,0.922896802425385,0.205395460128784,0.883816778659821,0.816321790218353,0.231597617268562,0.605078816413879,"Southeastern Asia"
"131","Togo",4.36080503463745,7.26529932022095,0.507805228233337,54.2999992370605,0.716694414615631,-0.0424015447497368,0.725519597530365,0.614188969135284,0.425824254751205,0.484952360391617,"Sub-Saharan Africa"
"132","Trinidad and Tobago",6.19185972213745,10.2668476104736,0.916029036045074,63.5,0.859140455722809,-0.00483250850811601,0.911336362361908,0.846467077732086,0.248098805546761,0.272540897130966,"Latin America and Caribbean"
"133","Tunisia",4.124342918396,9.29185581207275,0.717381596565247,66.5999984741211,0.477956652641296,-0.230909779667854,0.868826746940613,0.420961886644363,0.377196848392487,0.250827312469482,"Middle East and Northern Africa"
